Symbol,Price~,Type,Strike,Expires,DTE,"Bid x Size","Ask x Size",Trade,Size,Side,Premium,Volume,"Open Int",IV,Delta,Code,*,Time,"Exp Type"
UNH,329.6233,Put,500,2026-01-16T16:30:00-06:00,18,"167.35 x 89","174.40 x 95",171.65,700,mid,12015500,2890,176,85.90%,-0.9845308978,SLFT,N/A,"15:26:32 ET",M
META,659.86,Put,760,2026-01-16T16:30:00-06:00,18,"98.65 x 34","103.30 x 43",101.14,1180,mid,11934500,2440,168,41.03%,-0.9399498336,MFSL,N/A,"15:23:16 ET",M
MSTR,156.98,Put,400,2026-01-16T16:30:00-06:00,18,"242.35 x 5","243.65 x 5",242.35,480,bid,11632800,510,105,190.39%,-0.9822982745,MLFT,SellToOpen,"15:17:13 ET",M
MSTR,156.98,Put,370,2026-01-16T16:30:00-06:00,18,"212.40 x 11","213.40 x 8",212.4,540,bid,11469600,880,202,0.00%,0,MLFT,N/A,"15:17:13 ET",M
AAPL,273.84,Put,290,2026-01-02T16:30:00-06:00,4,"15.90 x 212","16.45 x 142",16.3,7000,mid,11410000,12026,1651,33.11%,-0.9519019968,MLFT,ToOpen,"15:29:09 ET",W
META,659.56,Put,800,2026-01-16T16:30:00-06:00,18,"139.25 x 51","143.10 x 55",139.53,817,mid,11399600,817,109,50.45%,-0.9583957024,MLFT,ToOpen,"15:15:59 ET",M
COIN,234.63,Put,360,2026-01-16T16:30:00-06:00,18,"121.50 x 139","129.60 x 147",126.05,900,mid,11344500,2670,191,107.97%,-0.9556247234,SLFT,N/A,"15:28:49 ET",M
MSTR,157.1875,Put,310,2026-01-16T16:30:00-06:00,18,"152.20 x 10","153.60 x 5",152.89,740,mid,11313800,1312,161,135.81%,-0.9881823465,MFSL,ToOpen,"15:23:53 ET",M
LULU,212.67,Put,350,2026-01-16T16:30:00-06:00,18,"135.05 x 34","140.20 x 37",135.06,830,mid,11209900,1770,355,112.54%,-0.9735602381,MLFT,N/A,"15:15:54 ET",M
TSLA,462.7517,Call,900,2028-01-21T16:30:00-06:00,753,"71.00 x 40","71.50 x 42",71.29,1551,mid,11057000,2060,6080,59.00%,0.39085644318886,MLET,N/A,"10:10:14 ET",M
TGT,98.125,Put,145,2026-01-16T16:30:00-06:00,18,"45.10 x 201","47.90 x 183",46.55,2350,mid,10939200,3930,617,97.90%,-0.9535934691,SLFT,ToOpen,"15:28:36 ET",M
STZ,138.69,Put,270,2026-01-16T16:30:00-06:00,18,"129.70 x 8","133.40 x 9",133.39,820,mid,10937900,820,172,196.00%,-0.9057212468,MLFT,ToOpen,"15:15:49 ET",M
CRCL,81.205,Put,200,2026-01-16T16:30:00-06:00,18,"112.00 x 191","124.50 x 337",118.47,920,mid,10899200,920,261,0.00%,0,MFSL,ToOpen,"15:18:05 ET",M
MSTR,156.98,Put,350,2026-02-20T16:30:00-06:00,53,"192.25 x 1","193.50 x 2",193.49,560,mid,10835400,4526,905,114.15%,-0.9597240726,MLFT,N/A,"15:17:13 ET",M
UNH,329.6233,Put,600,2026-01-16T16:30:00-06:00,18,"267.35 x 49","273.45 x 48",270.15,400,mid,10805900,1680,98,105.19%,-0.996967649,SLFT,N/A,"15:26:32 ET",M
COST,866.82,Put,960,2026-01-16T16:30:00-06:00,18,"90.10 x 44","96.05 x 18",93.04,1160,mid,10792600,1160,135,0.00%,0,MFSL,ToOpen,"15:17:39 ET",M
NKE,61.11,Put,120,2026-01-16T16:30:00-06:00,18,"57.00 x 719","60.90 x 532",59.5,1800,mid,10710000,3720,500,180.33%,-0.9317472737,SLFT,N/A,"15:29:03 ET",M
ADBE,352.89,Put,420,2026-01-16T16:30:00-06:00,18,"65.50 x 86","69.95 x 83",67.66,1580,mid,10690200,3420,305,49.50%,-0.9427833022,MFSL,N/A,"15:14:35 ET",M
MSFT,486.97,Put,525,2026-01-16T16:30:00-06:00,18,"36.20 x 106","39.60 x 103",37.76,2800,mid,10572800,2800,713,0.00%,0,MFSL,ToOpen,"15:23:41 ET",M
NFLX,94.4,Put,102,2026-01-09T16:30:00-06:00,11,"7.20 x 617","7.70 x 14",7.5,13909,mid,10431700,13909,205,0.00%,0,SLCN,ToOpen,"09:59:03 ET",W
CI,275.89,Put,380,2026-01-16T16:30:00-06:00,18,"101.90 x 96","105.30 x 14",103.6,1000,mid,10360000,1670,42,0.00%,0,MLFT,ToOpen,"15:28:51 ET",M
BTI,57.175,Call,37,2027-01-15T16:30:00-06:00,382,"20.10 x 200","20.30 x 14",20.3,5040,ask,10231200,73080,4017,33.50%,0.94379240970406,SLFT,N/A,"15:14:09 ET",M
HD,346.74,Put,400,2026-01-16T16:30:00-06:00,18,"52.30 x 45","55.25 x 48",53.75,1900,mid,10212500,5920,375,38.76%,-0.9486132908,SLFT,N/A,"15:28:27 ET",M
ADBE,352.81,Put,420,2026-01-16T16:30:00-06:00,18,"65.50 x 81","69.95 x 89",67.9,1500,mid,10185000,4920,305,50.59%,-0.9378600791,SLFT,N/A,"15:29:04 ET",M
BTI,57.175,Call,37,2027-01-15T16:30:00-06:00,382,"20.00 x 222","20.30 x 14",20.2,5040,mid,10180800,73080,4017,33.50%,0.94379240970406,SLFT,N/A,"15:13:54 ET",M
ZS,228.06,Put,270,2026-01-16T16:30:00-06:00,18,"40.35 x 135","43.40 x 123",41.88,2430,mid,10176800,5730,672,0.00%,0,MFSL,N/A,"15:37:58 ET",M
MSTR,157.15,Put,410,2026-01-16T16:30:00-06:00,18,"252.45 x 10","253.45 x 5",252.95,400,mid,10118000,1270,81,186.04%,-0.9885788216,SLFT,N/A,"15:28:09 ET",M
BTI,57.175,Call,37,2027-01-15T16:30:00-06:00,382,"20.00 x 5","20.30 x 115",20.2,4980,mid,10059600,78120,4017,33.50%,0.94379240970406,SLFT,N/A,"15:14:25 ET",M
COST,867.4,Put,960,2026-01-16T16:30:00-06:00,18,"90.10 x 6","96.05 x 26",93.55,1075,mid,10056600,2235,135,30.14%,-0.9380721231,SLFT,N/A,"15:28:44 ET",M
META,659.86,Put,735,2026-01-16T16:30:00-06:00,18,"73.90 x 68","78.35 x 100",76,1320,mid,10032000,1325,234,32.60%,-0.9344198518,MFSL,ToOpen,"15:23:16 ET",M
ADBE,352.89,Put,580,2026-01-16T16:30:00-06:00,18,"225.45 x 44","230.40 x 38",225.45,440,bid,9919800,810,60,118.38%,-0.9647670017,MLFT,SellToOpen,"15:16:49 ET",M
BTI,57.175,Call,37,2027-01-15T16:30:00-06:00,382,"17.50 x 135","20.30 x 14",20.1,4860,mid,9768600,73080,4017,33.50%,0.94379240970406,SLFT,N/A,"15:13:43 ET",M
BRK.B,498.95,Call,230,2027-01-15T16:30:00-06:00,382,"277.65 x 81","278.50 x 348",278.5,348,ask,9691800,1002,72,40.55%,0.98469760581941,AUTO,N/A,"12:35:53 ET",M
BTI,57.166,Call,50,2026-01-16T16:30:00-06:00,18,"5.90 x 112","7.40 x 92",6.5,14850,mid,9652500,184381,8871,0.00%,0,MLFT,N/A,"15:46:11 ET",M
MSTR,157.1875,Put,410,2026-01-16T16:30:00-06:00,18,"252.20 x 5","253.60 x 5",252.9,380,mid,9610200,870,81,184.71%,-0.9891112449,MFSL,N/A,"15:24:27 ET",M
HD,346.67,Put,400,2026-01-16T16:30:00-06:00,18,"52.30 x 46","55.25 x 46",53.76,1780,mid,9569200,4020,375,38.02%,-0.9525437383,MFSL,N/A,"15:21:50 ET",M
BTI,57.166,Call,30,2026-01-16T16:30:00-06:00,18,"27.00 x 15","27.30 x 58",27,3500,bid,9450000,9263,238,135.28%,0.99043688256005,MLFT,N/A,"15:46:11 ET",M
MSTR,157.1875,Put,370,2026-02-20T16:30:00-06:00,53,"212.10 x 1","213.70 x 1",212.77,430,mid,9149100,1470,182,104.52%,-0.9910960665,MFSL,N/A,"15:24:39 ET",M
META,656.595,Put,670,2027-01-15T16:30:00-06:00,382,"89.65 x 7","90.20 x 34",90.1,1000,mid,9010000,1002,677,34.79%,-0.4298513386,MLFT,ToOpen,"13:55:06 ET",M
NFLX,94.12,Put,118,2026-01-16T16:30:00-06:00,18,"22.85 x 1164","24.05 x 830",23.35,3850,mid,8989700,4781,961,0.00%,0,SLFT,ToOpen,"15:28:02 ET",M
ZS,228.06,Put,280,2026-01-16T16:30:00-06:00,18,"50.35 x 139","53.40 x 118",51.84,1730,mid,8968300,5494,594,0.00%,0,MFSL,N/A,"15:37:57 ET",M
NKE,61.15,Put,120,2026-01-16T16:30:00-06:00,18,"57.00 x 712","60.90 x 544",60.1,1480,mid,8894800,1480,500,211.55%,-0.8850433167,MLFT,ToOpen,"15:16:58 ET",M
COIN,234.631,Put,360,2026-01-16T16:30:00-06:00,18,"121.50 x 159","129.60 x 597",125.55,700,mid,8788500,1770,191,94.29%,-0.9796829904,MFSL,N/A,"15:17:16 ET",M
COST,866.82,Put,1080,2026-01-16T16:30:00-06:00,18,"208.95 x 15","216.40 x 15",212.71,410,mid,8721100,657,33,0.00%,0,MFSL,ToOpen,"15:17:39 ET",M
NKE,61.11,Put,77.5,2026-01-16T16:30:00-06:00,18,"15.40 x 953","18.40 x 978",16.7,5200,mid,8684000,7041,1014,72.77%,-0.918110747,SLFT,ToOpen,"15:29:03 ET",M
TGT,97.975,Put,140,2026-01-16T16:30:00-06:00,18,"40.10 x 207","43.00 x 186",40.1,2140,bid,8581400,2220,685,0.00%,0,MLFT,SellToOpen,"15:16:09 ET",M
HD,346.76,Put,390,2026-01-16T16:30:00-06:00,18,"42.30 x 39","45.25 x 45",43.09,1990,mid,8574900,1990,338,33.68%,-0.939118068,MLFT,ToOpen,"15:16:15 ET",M
NFLX,94.12,Put,122,2026-01-16T16:30:00-06:00,18,"26.85 x 179","28.85 x 200",28.1,3050,mid,8570500,3810,766,70.51%,-0.9472758245,SLFT,ToOpen,"15:28:02 ET",M
META,659.56,Put,760,2026-01-16T16:30:00-06:00,18,"99.20 x 52","103.30 x 51",103.3,817,ask,8439600,1260,168,49.54%,-0.8939892637,MLFT,BuyToOpen,"15:15:59 ET",M
TSLA,467.15,Call,300,2026-01-16T16:30:00-06:00,18,"168.05 x 165","168.75 x 500",168.75,500,ask,8437500,5377,17189,90.79%,0.98944646159859,AUTO,N/A,"09:47:44 ET",M
ADBE,352.89,Put,580,2026-01-16T16:30:00-06:00,18,"225.45 x 44","230.40 x 40",227.98,370,mid,8435200,810,60,118.38%,-0.9647670017,MFSL,N/A,"15:14:35 ET",M
TSLA,467.15,Call,300,2026-01-16T16:30:00-06:00,18,"167.05 x 202","167.90 x 37",167.78,500,mid,8389000,5377,17189,90.79%,0.98944646159859,AUTO,N/A,"09:46:57 ET",M
TSLA,464.575,Call,300,2026-01-16T16:30:00-06:00,18,"167.00 x 194","167.65 x 500",167.65,500,ask,8382500,7988,17189,108.19%,0.97428513657496,AUTO,N/A,"09:48:47 ET",M
TSLA,467.15,Call,300,2026-01-16T16:30:00-06:00,18,"167.05 x 81","167.05 x 500",167.05,500,ask,8352500,5377,17189,90.79%,0.98944646159859,AUTO,N/A,"09:46:36 ET",M
TSLA,464.575,Call,300,2026-01-16T16:30:00-06:00,18,"165.95 x 136","166.90 x 500",166.9,500,ask,8345000,7988,17189,108.19%,0.97428513657496,AUTO,N/A,"09:50:03 ET",M
TSLA,464.575,Call,300,2026-01-16T16:30:00-06:00,18,"165.95 x 223","167.50 x 80",166.73,500,mid,8336500,7988,17189,108.19%,0.97428513657496,SLAN,N/A,"09:49:41 ET",M
TSLA,464.575,Call,300,2026-01-16T16:30:00-06:00,18,"166.10 x 296","166.45 x 115",166.43,500,mid,8321500,7988,17189,108.19%,0.97428513657496,AUTO,N/A,"09:50:37 ET",M
TSLA,464.575,Call,300,2026-01-16T16:30:00-06:00,18,"166.30 x 18","166.30 x 373",166.3,500,ask,8315000,7988,17189,108.19%,0.97428513657496,AUTO,N/A,"09:51:39 ET",M
TSLA,467.15,Call,300,2026-01-16T16:30:00-06:00,18,"165.45 x 105","166.30 x 21",165.88,500,mid,8294000,5377,17189,90.79%,0.98944646159859,AUTO,N/A,"09:45:49 ET",M
UNH,329.635,Put,400,2026-01-16T16:30:00-06:00,18,"68.60 x 174","73.95 x 186",68.6,1190,bid,8163400,1190,201,55.18%,-0.9363342326,MLFT,SellToOpen,"15:16:25 ET",M
UNH,329.635,Put,510,2026-01-16T16:30:00-06:00,18,"177.35 x 45","183.60 x 46",177.35,460,bid,8158100,460,68,85.68%,-0.9889451336,MLFT,SellToOpen,"15:16:25 ET",M
AMT,175.65,Put,210,2026-01-16T16:30:00-06:00,18,"33.10 x 7","36.20 x 13",34.52,2350,mid,8112200,2352,989,42.20%,-0.9683841637,MFSL,ToOpen,"15:15:03 ET",M
HD,346.74,Put,390,2026-01-16T16:30:00-06:00,18,"42.30 x 39","45.25 x 49",43.8,1850,mid,8103000,5380,338,33.75%,-0.9388169874,SLFT,N/A,"15:28:27 ET",M
TSLA,463.325,Call,300,2026-01-16T16:30:00-06:00,18,"164.15 x 353","164.65 x 290",164.63,492,mid,8099700,9192,17189,108.93%,0.97288983572619,AUTO,N/A,"09:53:19 ET",M
MSFT,487.12,Put,535,2026-01-16T16:30:00-06:00,18,"46.20 x 63","48.95 x 70",46.47,1710,mid,7946300,1710,244,0.00%,0,MLFT,ToOpen,"15:15:44 ET",M
MSTR,156.98,Put,310,2026-01-16T16:30:00-06:00,18,"152.50 x 1","153.70 x 1",152.62,520,mid,7936200,572,161,146.73%,-0.9777727337,MLFT,ToOpen,"15:16:30 ET",M
ARM,110.845,Put,150,2026-01-16T16:30:00-06:00,18,"38.05 x 91","40.75 x 137",39.56,2000,mid,7912000,5080,909,112.74%,-0.8613924503,MFSL,N/A,"15:15:20 ET",M
TSLA,462.18,Put,550,2026-01-02T16:30:00-06:00,4,"86.40 x 28","88.65 x 1",87.74,900,mid,7896600,900,149,70.04%,-0.9935761267,MFSL,ToOpen,"15:36:14 ET",W
TSLA,462.18,Put,640,2026-01-16T16:30:00-06:00,18,"176.05 x 34","179.60 x 39",177.96,440,mid,7830200,440,50,70.35%,-0.9854189059,MFSL,ToOpen,"15:36:14 ET",M
HD,346.67,Put,380,2026-01-16T16:30:00-06:00,18,"32.30 x 52","35.25 x 43",33.76,2240,mid,7562200,2240,1469,26.73%,-0.9371186984,MFSL,ToOpen,"15:21:50 ET",M
ARM,110.845,Put,160,2026-01-16T16:30:00-06:00,18,"48.40 x 95","51.20 x 146",49.63,1520,mid,7543700,5010,1075,129.15%,-0.8733861402,MFSL,N/A,"15:15:21 ET",M
BTI,57.175,Call,50,2026-01-16T16:30:00-06:00,18,"7.10 x 222","7.30 x 15",7.2,10440,mid,7516800,156190,8871,32.77%,0.97320744610602,SLFT,N/A,"15:13:43 ET",M
BTI,57.175,Call,50,2026-01-16T16:30:00-06:00,18,"5.90 x 15","7.30 x 15",7.2,10440,mid,7516800,156190,8871,32.77%,0.97320744610602,SLFT,N/A,"15:14:09 ET",M
BTI,57.175,Call,50,2026-01-16T16:30:00-06:00,18,"5.90 x 7","7.30 x 15",7.2,10440,mid,7516800,156190,8871,32.77%,0.97320744610602,SLFT,N/A,"15:13:54 ET",M
BTI,57.175,Call,50,2026-01-16T16:30:00-06:00,18,"7.10 x 74","7.30 x 15",7.2,10440,mid,7516800,166630,8871,32.77%,0.97320744610602,SLFT,N/A,"15:14:25 ET",M
MSTR,156.98,Put,350,2026-01-16T16:30:00-06:00,18,"192.40 x 2","193.45 x 5",192.41,390,mid,7503900,6050,1092,0.00%,0,MLFT,N/A,"15:16:30 ET",M
MSTR,156.98,Put,300,2026-01-16T16:30:00-06:00,18,"142.45 x 5","143.45 x 6",143.45,520,ask,7459400,5300,1042,0.00%,0,MLFT,N/A,"15:16:30 ET",M
AAPL,273.85,Put,290,2026-01-02T16:30:00-06:00,4,"15.65 x 92","16.55 x 714",16.1,4630,mid,7454300,5022,1651,28.55%,-0.9767121389,MFSL,ToOpen,"15:14:13 ET",W
NFLX,94.12,Put,116,2026-01-16T16:30:00-06:00,18,"20.85 x 695","23.40 x 242",21.55,3450,mid,7434700,4290,864,71.43%,-0.8943940238,SLFT,ToOpen,"15:28:02 ET",M
MSTR,157.15,Put,305,2026-01-16T16:30:00-06:00,18,"147.40 x 5","148.45 x 5",147.95,500,mid,7397500,1410,93,135.09%,-0.9854018917,SLFT,N/A,"15:28:09 ET",M
NOW,154.524,Put,188,2026-01-16T16:30:00-06:00,18,"30.00 x 316","36.30 x 298",33.5,2200,mid,7370000,8325,860,49.69%,-0.965410637,MFSL,N/A,"15:25:16 ET",M
PDD,113.785,Put,150,2026-01-16T16:30:00-06:00,18,"35.40 x 289","38.25 x 225",36.8,2000,mid,7360000,4580,500,84.10%,-0.9198732468,SLFT,N/A,"15:28:57 ET",M
CI,275.89,Put,350,2026-01-16T16:30:00-06:00,18,"71.90 x 119","75.30 x 49",73.6,1000,mid,7360000,2160,255,0.00%,0,MLFT,N/A,"15:28:51 ET",M
NOW,154.63,Put,188,2026-01-16T16:30:00-06:00,18,"30.00 x 307","36.30 x 293",36.3,2010,ask,7296300,2450,860,92.10%,-0.8029663064,MLFT,BuyToOpen,"15:17:04 ET",M
TGT,97.975,Put,145,2026-01-16T16:30:00-06:00,18,"45.10 x 203","47.90 x 191",46.06,1580,mid,7277400,1580,617,0.00%,0,MLFT,ToOpen,"15:16:09 ET",M
CRWV,75.7,Put,150,2026-01-16T16:30:00-06:00,18,"74.10 x 85","74.85 x 426",74.1,980,bid,7261800,1005,763,153.78%,-0.970611631,MLFT,SellToOpen,"15:16:45 ET",M
META,659.6028,Put,780,2026-01-16T16:30:00-06:00,18,"118.40 x 41","124.30 x 52",120.8,600,mid,7248000,1405,58,42.33%,-0.9676850442,SLFT,N/A,"15:28:16 ET",M
MSTR,156.98,Put,370,2026-01-16T16:30:00-06:00,18,"212.40 x 1","213.45 x 5",212.4,340,bid,7221600,880,202,0.00%,0,MLFT,N/A,"15:16:30 ET",M
SBUX,85.64,Put,115,2026-01-16T16:30:00-06:00,18,"27.40 x 428","30.10 x 285",28.84,2500,mid,7210000,5410,851,0.00%,0,MLFT,N/A,"15:28:50 ET",M
META,659.86,Put,800,2026-01-16T16:30:00-06:00,18,"138.90 x 49","143.10 x 57",141.28,510,mid,7205200,1327,109,53.22%,-0.9473563086,MFSL,N/A,"15:23:29 ET",M
MSTR,156.98,Put,290,2026-01-16T16:30:00-06:00,18,"132.20 x 5","133.50 x 5",132.2,545,bid,7204900,550,111,134.58%,-0.9756844411,MLFT,SellToOpen,"15:17:13 ET",M
META,659.56,Put,750,2026-01-16T16:30:00-06:00,18,"89.00 x 117","93.05 x 841",93.05,773,ask,7192700,2253,300,45.25%,-0.8930261998,MLFT,N/A,"15:15:59 ET",M
MSFT,487.11,Put,535,2026-01-16T16:30:00-06:00,18,"46.20 x 121","48.15 x 16",47.82,1500,mid,7173000,4370,244,0.00%,0,MLFT,N/A,"15:28:12 ET",M
MSTR,156.98,Put,305,2026-01-16T16:30:00-06:00,18,"147.25 x 5","149.30 x 48",149.3,480,ask,7166400,480,93,0.00%,0,MLFT,BuyToOpen,"15:17:13 ET",M
TSLA,467.4801,Call,400,2027-01-15T16:30:00-06:00,382,"142.20 x 100","143.25 x 171",142.87,500,mid,7143500,8437,10055,56.10%,0.73311923650784,AUTO,N/A,"10:36:50 ET",M
TSLA,467.4801,Call,400,2027-01-15T16:30:00-06:00,382,"142.65 x 8","143.05 x 10",142.85,500,mid,7142500,8437,10055,56.10%,0.73311923650784,AUTO,N/A,"10:37:10 ET",M
TSLA,467.4801,Call,400,2027-01-15T16:30:00-06:00,382,"141.95 x 5","142.95 x 10",142.73,500,mid,7136500,8437,10055,56.10%,0.73311923650784,AUTO,N/A,"10:37:32 ET",M
TSLA,467.4801,Call,400,2027-01-15T16:30:00-06:00,382,"142.70 x 500","142.95 x 1",142.7,500,bid,7135000,8437,10055,56.10%,0.73311923650784,AUTO,N/A,"10:38:18 ET",M
TSLA,467.4801,Call,400,2027-01-15T16:30:00-06:00,382,"141.85 x 92","142.60 x 35",142.62,500,ask,7131000,8437,10055,56.10%,0.73311923650784,AUTO,N/A,"10:36:11 ET",M
UNH,329.635,Put,590,2026-01-16T16:30:00-06:00,18,"257.00 x 48","263.10 x 163",263.1,270,ask,7103700,272,38,158.26%,-0.9311639853,MLFT,BuyToOpen,"15:16:25 ET",M
TSLA,466.479,Call,400,2027-01-15T16:30:00-06:00,382,"141.85 x 488","142.40 x 100",141.85,500,bid,7092500,3141,10055,56.18%,0.73186772960178,AUTO,N/A,"10:27:47 ET",M
TSLA,466.265,Call,400,2027-01-15T16:30:00-06:00,382,"141.20 x 55","141.85 x 20",141.52,500,mid,7076000,5141,10055,55.87%,0.73168701354436,AUTO,N/A,"10:29:13 ET",M
TSLA,466.265,Call,400,2027-01-15T16:30:00-06:00,382,"141.50 x 500","141.85 x 72",141.52,500,mid,7076000,5141,10055,55.87%,0.73168701354436,AUTO,N/A,"10:29:26 ET",M
UNH,329.6233,Put,400,2026-01-16T16:30:00-06:00,18,"68.60 x 186","71.35 x 161",70.7,1000,mid,7070000,2990,201,47.05%,-0.9661510789,SLFT,N/A,"15:28:18 ET",M
TSLA,466.479,Call,400,2027-01-15T16:30:00-06:00,382,"140.90 x 311","141.25 x 184",140.9,500,bid,7045000,3141,10055,56.18%,0.73186772960178,AUTO,N/A,"10:24:42 ET",M
NVDA,187.34,Call,190,2026-06-18T16:30:00-05:00,171,"23.30 x 329","23.45 x 252",23.31,3000,mid,6993000,3393,28708,45.37%,0.56526277995396,MLCT,N/A,"10:45:54 ET",M
PDD,113.785,Put,165,2026-01-16T16:30:00-06:00,18,"50.40 x 280","53.15 x 217",51.75,1350,mid,6986200,3100,347,102.11%,-0.9393367306,SLFT,N/A,"15:28:57 ET",M
META,659.86,Put,795,2026-01-16T16:30:00-06:00,18,"133.90 x 52","139.40 x 60",136.28,510,mid,6950200,645,18,51.86%,-0.9459342527,MFSL,ToOpen,"15:23:29 ET",M
TMUS,203.835,Put,270,2026-01-16T16:30:00-06:00,18,"65.00 x 93","68.00 x 107",68,1020,ask,6936000,1020,214,94.15%,-0.892905215,MLFT,BuyToOpen,"15:15:25 ET",M
MRNA,31.19,Put,100,2026-01-16T16:30:00-06:00,18,"67.05 x 172","70.65 x 105",69.1,1000,mid,6910000,1000,0,278.67%,-0.9450511822,MLFT,ToOpen,"15:28:13 ET",M
UNH,329.48,Put,400,2026-01-16T16:30:00-06:00,18,"68.60 x 180","71.35 x 145",70.15,980,mid,6874700,3970,201,0.00%,0,MFSL,N/A,"15:36:56 ET",M
COIN,234.631,Put,380,2026-01-16T16:30:00-06:00,18,"142.40 x 51","149.60 x 918",146.01,470,mid,6862400,920,79,117.89%,-0.9599694556,MFSL,N/A,"15:17:16 ET",M
STZ,138.7001,Put,270,2026-01-16T16:30:00-06:00,18,"129.70 x 8","133.20 x 6",131.51,520,mid,6838500,1790,172,139.73%,-0.9789417235,MFSL,N/A,"15:35:13 ET",M
KLAC,1265,Put,1200,2026-03-20T16:30:00-05:00,81,"63.60 x 17","70.60 x 29",68,1000,mid,6800000,1000,3054,43.42%,-0.3490912448,SLFT,N/A,"12:13:52 ET",M
CRWV,75.59,Put,150,2026-01-16T16:30:00-06:00,18,"74.10 x 376","74.85 x 426",74.47,910,mid,6776700,1915,763,140.89%,-0.9838935451,MFSL,N/A,"15:18:28 ET",M
TSLA,466.479,Call,400,2027-01-15T16:30:00-06:00,382,"141.10 x 480","141.30 x 113",141.1,480,bid,6772800,3141,10055,56.18%,0.73186772960178,AUTO,N/A,"10:26:47 ET",M
TGT,98.29,Put,140,2026-01-16T16:30:00-06:00,18,"41.00 x 186","43.00 x 206",42.02,1610,mid,6765200,6930,685,88.44%,-0.9549253845,MFSL,N/A,"15:35:44 ET",M
HD,346.67,Put,390,2026-01-16T16:30:00-06:00,18,"42.30 x 39","45.25 x 48",43.78,1540,mid,6742100,3530,338,32.78%,-0.9447706552,MFSL,N/A,"15:21:50 ET",M
COIN,234.631,Put,380,2026-01-16T16:30:00-06:00,18,"142.40 x 51","149.60 x 59",149.6,450,ask,6732000,920,79,117.89%,-0.9599694556,MLFT,N/A,"15:16:54 ET",M
ABNB,136.96,Put,170,2026-01-16T16:30:00-06:00,18,"32.55 x 341","34.60 x 345",33.6,2000,mid,6720000,4490,439,67.04%,-0.9185344493,SLFT,N/A,"15:29:06 ET",M
TMUS,203.785,Put,270,2026-01-16T16:30:00-06:00,18,"65.00 x 92","68.00 x 89",66.5,1000,mid,6650000,2095,214,69.51%,-0.9618512097,SLFT,N/A,"15:28:29 ET",M
UNH,329.635,Put,450,2026-01-16T16:30:00-06:00,18,"117.00 x 45","123.50 x 46",122.87,540,mid,6634900,540,85,97.07%,-0.9097213682,MLFT,ToOpen,"15:16:25 ET",M
TSLA,462.18,Put,620,2026-01-16T16:30:00-06:00,18,"156.05 x 37","159.25 x 30",157.48,420,mid,6614100,420,56,0.00%,0,MFSL,ToOpen,"15:36:14 ET",M
TSM,299.46,Call,195,2026-06-18T16:30:00-05:00,171,"109.00 x 343","111.90 x 328",110,600,mid,6600000,602,1133,48.77%,0.92843331036532,SLFT,N/A,"13:19:05 ET",M
